Krankenhaus,Anzahl_Standorte,Betten_gesamt,Orte,Kreise,Telefon,E_Mail,Website,Traeger,Quelle
Herz- und Gefäßzentrum Bad Bevensen,1,230.0,Bad Bevensen,Uelzen,05821 82-0,info@hgz-bb.de,www.hgz-bb.de,Herz-Kreislauf-Klinik Bevensen AG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Herzogin-Elisabeth-Hospital,1,245.0,Braunschweig,"Braunschweig, Stadt",0531 699-0,info@heh-bs.de,www.heh-bs.de,Herzogin-Elisabeth-Hospital,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Hümmling Krankenhaus Sögel,1,178.0,Sögel,Emsland,05952 209-0,verwaltung@hospital-soegel.de,www.huemmling-hospital-soegel.de,Hümmling Hospital Sögel gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
INI International Neuroscience Institute Hannover,1,114.0,Hannover,Region Hannover,0511 27092-0,info@ini-hannover.de,www.ini-hannover.com,INI Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Inselkrankenhaus Borkum gGmbH,1,16.0,Borkum,Leer,04922 9300-15,info@inselkrankenhaus-borkum.de,www.inselkrankenhaus-borkum.de,Nextclinics International GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
"Johann-Wilhelm-Ritter-Klinik Akut-, AHB- und Rehabilitationsklinik",1,33.0,Bad Rothenfelde,Osnabrück,05424 645-0,info@hautklinik.de,www.hautklinik.de,J.-W. Ritter-Klinik GmbH & Co. KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Johanniter-Krankenhaus Gronau GmbH,1,117.0,Gronau (Leine),Hildesheim,05182 583-0,info@johanniter-gronau.de,www.johanniter.de,Johanniter-Krankenhaus Gronau GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
KRH-Klinikum Agnes Karll Laatzen,1,246.0,Laatzen,Region Hannover,0511 8208-0,info.laatzen@krh.eu,www.krh.eu,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
KRH-Klinikum Großburgwedel,1,216.0,Burgwedel,Region Hannover,05139 801-1,info.burgwedel@krh.eu,www.krh.eu,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
KRH-Klinikum Lehrte,1,158.0,Lehrte,Region Hannover,05132 503-0,info.lehrte@krh.eu,www.krh.eu,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
KRH-Klinikum Neustadt am Rübenberge,1,272.0,Neustadt am Rübenberge,Region Hannover,05032 88-0,info.neustadt@krh.eu,www.krh.eu,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
KRH-Klinikum Nordstadt,1,408.0,Hannover,Region Hannover,0511 970-0,info.nordstadt@krh.de,www.krh.de,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
KRH-Klinikum Robert Koch Gehrden,1,349.0,Gehrden,Region Hannover,05108 69-0,info.gehrden@krh.eu,www.krh.eu,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
KRH-Klinikum Siloah,1,564.0,Hannover,Region Hannover,0511 927-0,info.siloah@krh.eu,www.krh.eu,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Karl-Jaspers-Klinik,6,486.0,"Bad Zwischenahn, Brake, Cloppenburg, Delmenhorst, Westerstede",Ammerland,0441 9615-0,info@kjk.de,www.karl-jaspers-klinik.de,Psychiatrieverbund Oldenburger Land gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Karl-Jaspers-Klinik für Psychosomatische Medizin und Psychotherapie,1,40.0,Westerstede,Ammerland,0441 9615-0,info@kjk.de,www.karl-jaspers-klinik.de,Psychiatrieverbund Oldenburger Land gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Kinder- und Jugendkrankenhaus auf der Bult,3,235.0,"Celle, Hannover",Region Hannover,0511 8115-0,info@hka.de,www.auf-der-bult.de,Stiftung Hannoversche Kinderheilanstalt,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Kinderhospital Osnabrück am Schölerberg,2,49.0,"Osnabrück, Twistringen","Osnabrück, Stadt",0541 5602-0,info@kinderhospital.de,www.kinderhospital.de,Stiftung Kinderhospital Osnabrück,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Kirchberg Klinik,1,35.0,Bad Lauterberg im Harz,Göttingen,05524 859-0,info@kirchbergklinik.de,www.kirchbergklinik.de,Gollée GmbH & Co.,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Bassum,3,241.0,"Bassum, Diepholz, Twistringen",Diepholz,04241 81-0,,www.kliniken-lkd.de,Kliniken Landkreis Diepholz gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Diepholz,1,116.0,Diepholz,Diepholz,05441 972-0,,www.kliniken-lkd.de,Kliniken Landkreis Diepholz gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Dr. Barner Fachklinik für Psychosomatische und Psychotherapeutische Medizin,1,80.0,Braunlage,Goslar,,,www.klinik-barner.de,Klinik Dr. Barner Fachklinik für Psychosomatische und Psychotherapeutische Medizin,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Dr. Hancken,1,47.0,"Stade, Niederelbe",Stade,04141 604-0,info@hancken.de,www.hancken.de,Klinik Dr. Hancken GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Dr. Witwity,1,23.0,"Stade, Niederelbe",Stade,04141 959-0,info@klinik-witwity.de,www.klinik-witwity.de,Klinik Dr. med. T. Witwity GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Fallingbostel Fachklinik für Herz- und Kreislauferkrankungen,1,22.0,Bad Fallingbostel,Heidekreis,05162 44-0,info@klinik-fallingbostel.de,www.klinikfallingbostel.de,von Graevemeyer GmbH & Co KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Lilienthal,1,109.0,Lilienthal bei Bremen,Osterholz,04298 271-0,info@klinik-lilienthal.de,www.klinik-lilienthal.de,Klinik Lilienthal im Artemed-Klinikverbund,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik Sulingen,1,127.0,Sulingen,Diepholz,04271 82-0,,www.kliniken-lkd.de,Kliniken Landkreis Diepholz gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik am Zuckerberg GmbH,1,15.0,Braunschweig,"Braunschweig, Stadt",0531 26330,info@klinikamzuckerberg.de,www.klinikamzuckerberg.de,Klinik am Zuckerberg GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinik für Kinder- und Jugendpsychotherapie Wichernstift gGmbH,3,51.0,"Brake, Cuxhaven, Ganderkesee",Oldenburg,04221 852-0,klinik@wichernsstift.de,www.wichernstift.de,Ev.-luth. Wichernstift Ganderkesee,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Emden Hans-Susemihl-Krankenhaus gGmbH,2,358.0,"Emden, Leer (Ostfriesland)","Emden, Stadt",04921 98-0,info@klinikum-emden.de,www.klinikum-emden.de,Klinikum Emden Hans-Susemihl Krankenhaus gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Hann. Münden GmbH,1,160.0,Hann. Münden,Göttingen,05541 996-0,,www.khmue.de,Klinikum Hann. Münden GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Leer gGmbH,1,390.0,Leer,Leer,0491 86-0,info@klinikum-leer.de,www.klinikum-leer.de,Klinikum Leer gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Oldenburg gGmbH,1,752.0,Oldenburg (Oldb.),"Oldenburg (Oldenburg), Stadt",0441 403-0,info@klinikum-oldenburg.de,www.klinikum-oldenburg.de,Klinikum Oldenburg gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Osnabrück,1,786.0,Osnabrück,"Osnabrück, Stadt",0541 405-0,info@klinikum-os.de,www.klinikum-os.de,Klinikum Osnabrück GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Peine gGmbH,1,207.0,Peine,Peine,05171 93-0,klinikuminfo@klinikum-peine.de,www.klinikum-peine.de,Klinikum Peine gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Region Hannover,3,425.0,"Hannover, Nienburg (Weser), Wunstorf",Region Hannover,05031 93-0,info.wunstorf@krh.eu,www.krh.eu,Klinikum Region Hannover Psychiatrie GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Region Hannover GmbH Geriatrie Langenhagen,1,46.0,Langenhagen,Region Hannover,0511 7300-01,info.geriatrie-langenhagen@krh.de,www.krh.de,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Region Hannover GmbH Psychiatrie Langenhagen,2,202.0,"Hannover, Langenhagen",Region Hannover,0511 7300-03,info.psychiatrie-langenhagen@krh.eu,www.krh.eu,Klinikum Region Hannover GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Wahrendorff GmbH,5,269.0,"Hannover, Lehrte bei Hannover, Sehnde",Region Hannover,05132 90-0,mail@wahrendorff.de,www.wahrendorff.de,Klinikum Wahrendorff GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Wilhelmshaven gGmbH,1,489.0,Wilhelmshaven,"Wilhelmshaven, Stadt",04421 89-0,info@klinikum-whv.de,www.klinikum-whv.de,Klinikum Wilhelmshaven gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Klinikum Wolfsburg,1,598.0,Wolfsburg,"Wolfsburg, Stadt",05361 80-0,info@klinikum.wolfsburg.de,www.klinikum-wolfsburg.de,Klinikum Wolfsburg,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Buchholz und Winsen gGmbH Krankenhaus Buchholz,1,304.0,Buchholz in der Nordheide,Harburg,04181 13-0,info@krankenhaus-buchholz.de,www.krankenhaus-buchholz.de,Krankenhaus Buchholz und Winsen gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Buchholz und Winsen gGmbH Krankenhaus Winsen,1,255.0,Winsen (Luhe),Harburg,04171 13-0,info@krankenhaus-winsen.de,www.krankenhaus-winsen.de,Krankenhaus Buchholz und Winsen gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Ginsterhof,1,140.0,"Rosengarten, Kreis Harburg",Harburg,04108 598-0,info@ginsterhof.de,www.ginsterhof.info,Evangelisches Krankenhaus Ginsterhof GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Johanneum,1,144.0,Wildeshausen,Oldenburg,04431 982-0,info@krankenhaus-johanneum.de,www.krankenhaus-johanneum.de,Stiftung Johanneum,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Land Hadeln,1,101.0,"Otterndorf, Niederelbe",Cuxhaven,04751 908-0,info@khlh.de,www.krankenhaus-land-hadeln.de,Krankenhaus Land Hadeln Otterndorf gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Lindenbrunn,1,106.0,Coppenbrügge,Hameln-Pyrmont,05156 782-0,info@krankenhaus-lindenbrunn.de,www.krankenhaus-lindenbrunn.de,Krankenhaus Lindenbrunn,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Ludmillenstift Meppen,1,420.0,Meppen,Emsland,05931 152-0,info@ludmillenstift.de,www.ludmillenstift.de,Stiftung Ludmillenstift,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Norderney,1,64.0,Norderney,Aurich,04932 805-0,info@Krankenhaus-norderney.de,www.krankenhaus-norderney.de,Allergie- und Hautklinik gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Rheiderland,1,60.0,Weener,Leer,04951 301-0,info@klinikum-leer.de,www.krankenhaus-rheiderland.de,Klinikum Leer gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus St. Elisabeth gGmbH,1,246.0,"Damme, Dümmer",Vechta,05491 60-1,info@krankenhaus-damme.de,www.krankenhaus-damme.de,Krankenhaus St. Elisabeth gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Krankenhaus Wittmund gGmbH,1,165.0,Wittmund,Wittmund,04462 8602,info@kh-wtm.de,www.kh-wtm.de,Krankenhaus Wittmund gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Kreiskrankenhaus Osterholz,1,128.0,Osterholz-Scharmbeck,Osterholz,04791 803-0,info@kkhohz.de,www.kreiskrankenhaus-osterholz.de,Kreiskrankenhaus Osterholz,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Marienkrankenhaus Papenburg-Aschendorf GmbH,3,285.0,"Leer, Papenburg",Emsland,04961 93-0,info@marienkrankenhaus-papenburg.de,www.marienkrankenhaus-papenburg.de,Marienkrankenhaus Papenburg-Aschendorf GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
MediClin Hedon-Klinik,1,120.0,Lingen,Emsland,0591 918-0,info@hedon.mediclin.de,www.mediclin.de,Mediclin GmbH & Co. KG Zentralverwaltung,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
MediClin Klinikum Soltau,1,61.0,Soltau,Heidekreis,05191 800-0,info.klinikum-soltau@mediclin.de,www.mediclin.de,Mediclin GmbH & Co. KG Zentralverwaltung,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
MediClin Seepark Klinik Akutpsychosomatik Schwerpunkt Essstörungen,1,100.0,Bad Bodenteich,Uelzen,05824 21-0,akutpsychosomatik.seepark@mediclin.de,www.seepark-klinik.de,Mediclin GmbH & Co. KG Zentralverwaltung,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Median Zentrum für Verhaltensmedizin Bad Pyrmont Fachkrankenhaus,1,73.0,Bad Pyrmont,Hameln-Pyrmont,05281 619-0,pyrmont-kontakt@median-kliniken.de,www.median-kliniken.de,MEDIAN West GmbH Zweigstelle Bad Pyrmont,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Mediclin Deister-Weser-Klinik Akutpsychosomatik,1,54.0,Bad Münder am Deister,Hameln-Pyrmont,05042 600-0,info@dwk.mediclin.de,www.mediclin.de,Mediclin GmbH & Co. KG Zentralverwaltung,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Medizinische Hochschule Hannover,4,1504.0,Hannover,Region Hannover,0511 532-0,pressestelle@mh-hannover.de,www.mh-hannover.de,Medizinische Hochschule Hannover,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken Bramsche,1,104.0,"Bramsche, Hase",Osnabrück,05461 805-0,info-nkb@niels-stensen-kliniken.de,www.niels-stensen-kliniken.de,Niels-Stensen-Kliniken,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken Christliches Klinikum Melle,1,233.0,"Melle, Wiehengeb",Osnabrück,05422 104-0,info@christliches-klinikum-melle.de,www.niels-stensen-kliniken.de,Niels-Stensen-Kliniken,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken Elisabeth-KrankenhausThuine,1,140.0,"Thuine, Emsland",Emsland,05902 951-0,info@krankenhaus-thuine.de,www.krankenhaus-thuine.de,Niels-Stensen-Kliniken,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken Franziskus Hospital Harderberg,1,325.0,Georgsmarienhütte,Osnabrück,0541 502-0,Verwaltung@franziskus.com,www.niels-stensen-kliniken.de,Klinikum St. Georg GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken Magdalenen-Klinik,1,24.0,Georgsmarienhütte,Osnabrück,0541 502-3500,info@magdalenen-klinik.de,www.niels-stensen-kliniken.de,Niels-Stensen-Kliniken,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken Marienhospital Ankum-Bersenbrück GmbH,1,53.0,Ankum,Osnabrück,05462 881-0,info@mha.de,www.mha.de,Niels-Stensen-Kliniken,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken Marienhospital Osnabrück,2,607.0,Osnabrück,"Osnabrück, Stadt",0541 326-0,information@mho.de,www.niels-stensen-kliniken.de,Niels-Stensen-Kliniken,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-Kliniken St. Vinzenz-Hospital Haselünne,1,189.0,Haselünne,Emsland,05961 503-0,info-svh@niels-stensen-kliniken.de,www.krankenhaus-haseluenne.de,Niels-Stensen-Kliniken,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Niels-Stensen-KlinikenKrankenhaus St. Raphael Ostercappeln,1,180.0,Ostercappeln,Osnabrück,05473 29-0,verwaltung@krankenhaus-st-raphael.de,www.niels-stensen-kliniken.de,Klinikum St. Georg GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
